ppg_wave, bcg_raw
91.85714285714286,1502.0
91.28571428571428,1506.0
90.71428571428571,1509.0
89.25396825396825,1501.0
87.79365079365078,1510.0
86.33333333333333,1517.0
83.93650793650794,1532.0
81.53968253968253,1534.0
79.14285714285714,1532.0
76.59523809523809,1550.0
74.04761904761905,1538.0
71.5,1531.0
69.38888888888889,1533.0
67.27777777777779,1528.0
65.16666666666667,1515.0
63.44642857142858,1509.0
61.72619047619048,1494.0
60.00595238095238,1497.0
58.285714285714285,1505.0
57.46825396825397,1509.0
56.65079365079365,1514.0
55.833333333333336,1522.0
56.65079365079365,1521.0
57.46825396825397,1523.0
58.285714285714285,1533.0
59.19047619047619,1543.0
60.095238095238095,1535.0
61.0,1527.0
61.333333333333336,1532.0
61.666666666666664,1538.0
62.0,1538.0
62.32142857142857,1538.0
